date,open,high,low,close,volume
2018-06-28,183.4566,185.5592,183.1576,184.8517,17365235
2018-06-29,185.6389,186.5358,182.2707,184.463,22737666
2018-07-02,183.1775,186.6454,182.7789,186.5258,17731343
2018-07-03,187.1337,187.2931,182.8985,183.2772,13954806
2018-07-05,184.6125,185.7585,183.6359,184.752,16604248
2018-07-06,184.772,187.7754,184.5527,187.313,17485245
2018-07-09,188.8377,190.0136,188.6384,189.9139,19756634
2018-07-10,190.0435,190.6115,189.5154,189.6847,15939149
2018-07-11,187.8412,189.1166,186.9543,187.2234,18831470
2018-07-12,188.8676,190.741,188.6484,190.3623,18041131
2018-07-13,190.4122,191.1695,190.2328,190.6613,12519792
2018-07-16,190.8506,191.9767,189.7495,190.2428,15043110
2018-07-17,189.0868,191.1994,188.5387,190.7809,15534523
2018-07-18,191.1097,191.1297,189.2662,189.7346,16393381
2018-07-19,189.027,191.877,189.027,191.2094,20286752
2018-07-20,191.1097,191.7575,189.5054,190.7709,20706042
2018-07-23,190.0136,191.2891,188.8975,190.9403,15989365
2018-07-24,191.7774,192.9833,191.3788,192.3255,18697898
2018-07-25,192.3855,194.169,191.7575,194.1391,16826483
2018-07-26,193.9298,195.2751,192.9333,193.5312,19075964
2018-07-27,194.3085,194.5078,189.4356,190.3125,24023972
2018-07-30,191.2293,191.5283,188.4092,189.2463,21029535
2018-07-31,189.6349,191.4685,188.6783,189.6249,39373038
2018-08-01,198.434,201.0548,196.6204,200.7958,67935716
2018-08-02,199.879,207.6517,199.6498,206.6652,62404012
2018-08-03,206.3064,208.0105,204.7621,207.2631,33447396
2018-08-06,207.273,208.5187,206.3463,208.3393,25425387
2018-08-07,208.5884,208.7678,206.0374,206.3862,25587387
2018-08-08,205.3299,207.0837,203.8052,206.5257,22525487
2018-08-09,206.5556,209.0468,206.4758,208.15,23492626
2018-08-10,207.36,209.1,206.67,207.53,24611202
2018-08-13,207.7,210.952,207.7,208.87,25890880
2018-08-14,210.155,210.56,208.26,209.75,20748010
2018-08-15,209.22,210.74,208.33,210.24,28807564
2018-08-16,211.75,213.8121,211.47,213.32,28500367
2018-08-17,213.44,217.95,213.16,217.58,35426997
2018-08-20,218.1,219.18,215.11,215.46,30287695
2018-08-21,216.8,217.19,214.025,215.04,26159755
2018-08-22,214.1,216.36,213.84,215.05,19018131
2018-08-23,214.65,217.05,214.6,215.49,18883224
2018-08-24,216.6,216.9,215.11,216.16,18476356
2018-08-27,217.15,218.74,216.33,217.94,20525117
2018-08-28,219.01,220.54,218.92,219.7,22776766
2018-08-29,220.15,223.49,219.41,222.98,27254804
2018-08-30,223.25,228.26,222.4,225.03,48793824
2018-08-31,226.51,228.87,226.0,227.63,43340134
2018-09-04,228.41,229.18,226.63,228.36,27390132
2018-09-05,228.99,229.67,225.1,226.87,33332960
2018-09-06,226.23,227.35,221.3,223.1,34289976
2018-09-07,221.85,225.37,220.71,221.3,37619810
2018-09-10,220.95,221.85,216.47,218.33,39516453
2018-09-11,218.01,224.299,216.56,223.85,35749049
2018-09-12,224.94,225.0,219.84,221.07,49278740
2018-09-13,223.52,228.35,222.57,226.41,41706377
2018-09-14,225.75,226.84,222.522,223.84,31999289
2018-09-17,222.15,222.95,217.27,217.88,37195133
2018-09-18,217.79,221.85,217.12,218.24,31571712
2018-09-19,218.5,219.62,215.3,218.37,27123833
2018-09-20,220.24,222.28,219.15,220.03,26608794
2018-09-21,220.78,221.36,217.29,217.66,96246748
2018-09-24,216.82,221.26,216.63,220.79,27693358
2018-09-25,219.75,222.82,219.7,222.19,24554379
2018-09-26,221.0,223.75,219.76,220.42,23984706
2018-09-27,223.82,226.44,223.54,224.95,30181227
2018-09-28,224.79,225.84,224.02,225.74,22929364
2018-10-01,227.95,229.42,226.35,227.26,23600802
2018-10-02,227.25,230.0,226.63,229.28,24788170
2018-10-03,230.05,233.47,229.78,232.07,28654799
2018-10-04,230.78,232.35,226.73,227.99,32042000
2018-10-05,227.96,228.41,220.58,224.29,33580463
2018-10-08,222.21,224.8,220.2,223.77,29663923
